ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
8.57284;16 16 16 4096 32 8 0 0 0;0.830336;10.3245;165.466;0.774062
3.38721;16 16 16 4096 4 1 0 0 0;0.796253;4.25394;78.6203;0.855945
3.61356;16 16 16 4096 4 2 0 0 0;0.793343;4.55485;83.4772;0.851145
4.09837;16 16 16 4096 4 4 0 0 0;0.792728;5.16996;93.1911;0.841626
11.5385;16 16 16 4096 64 2 0 0 0;0.8953;12.8879;196.722;0.74655
24.9226;16 16 16 4096 64 32 0 0 0;0.89281;27.9148;342.43;0.630652
12.3146;16 16 16 4096 64 4 0 0 0;0.897023;13.7283;206.436;0.7382
13.8745;16 16 16 4096 64 8 0 0 0;0.896664;15.4735;225.864;0.72178
3.76031;16 16 16 4096 8 1 0 0 0;0.796071;4.72358;86.17;0.848496
3.99194;16 16 16 4096 8 2 0 0 0;0.793409;5.03138;91.0269;0.843737
4.48384;16 16 16 4096 8 4 0 0 0;0.792147;5.66037;100.741;0.834301
5.52839;16 16 16 4096 8 8 0 0 0;0.792857;6.97274;120.168;0.815743
3.55952;16 32 16 4096 1 1 0 0 0;0.78235;4.54979;82.6781;0.843553
4.96379;16 32 16 4096 16 1 0 0 0;0.774796;6.40658;110.989;0.816349
9.21605;16 32 16 4096 16 16 0 0 0;0.772947;11.9233;183.843;0.750312
5.2062;16 32 16 4096 16 2 0 0 0;0.772349;6.74074;115.846;0.811772
5.72678;16 32 16 4096 16 4 0 0 0;0.771489;7.42303;125.56;0.802693
6.827;16 32 16 4096 16 8 0 0 0;0.771892;8.8445;144.988;0.784838
3.62181;16 32 16 4096 2 1 0 0 0;0.775748;4.6688;84.5655;0.841712
3.85763;16 32 16 4096 2 2 0 0 0;0.77491;4.97817;89.4224;0.836991
6.91245;16 32 16 4096 32 2 0 0 0;0.774586;8.92406;146.045;0.783878
17.3424;16 32 16 4096 32 32 0 0 0;0.778088;22.2885;291.752;0.662186
7.48319;16 32 16 4096 32 4 0 0 0;0.774181;9.66594;155.759;0.775111
8.68986;16 32 16 4096 32 8 0 0 0;0.775232;11.2094;175.186;0.75787
3.80242;16 32 16 4096 4 1 0 0 0;0.774605;4.90886;88.3403;0.838041
4.02879;16 32 16 4096 4 2 0 0 0;0.771545;5.22172;93.1972;0.833341
4.51794;16 32 16 4096 4 4 0 0 0;0.770846;5.86102;102.911;0.824021
11.1077;16 32 16 4096 64 2 0 0 0;0.801122;13.8652;206.442;0.730933
23.8902;16 32 16 4096 64 32 0 0 0;0.812367;29.4081;352.15;0.617461
11.8652;16 32 16 4096 64 4 0 0 0;0.80521;14.7355;216.156;0.722759
13.3931;16 32 16 4096 64 8 0 0 0;0.809625;16.5423;235.584;0.706682
4.17899;16 32 16 4096 8 1 0 0 0;0.774301;5.39712;95.89;0.830747
4.41163;16 32 16 4096 8 2 0 0 0;0.771667;5.71701;100.747;0.826088
4.9074;16 32 16 4096 8 4 0 0 0;0.770332;6.3705;110.461;0.816849
5.9586;16 32 16 4096 8 8 0 0 0;0.770531;7.73311;129.888;0.79868
4.61791;16 64 16 4096 1 1 0 0 0;0.77951;5.92412;102.118;0.808632
6.11559;16 64 16 4096 16 1 0 0 0;0.771458;7.92731;130.429;0.782554
10.6445;16 64 16 4096 16 16 0 0 0;0.768104;13.8581;203.283;0.719251
6.37193;16 64 16 4096 16 2 0 0 0;0.768876;8.28733;135.286;0.778166
6.92699;16 64 16 4096 16 4 0 0 0;0.767785;9.02204;145;0.769463
8.09703;16 64 16 4096 16 8 0 0 0;0.767398;10.5513;164.428;0.752348
4.67714;16 64 16 4096 2 1 0 0 0;0.772739;6.05267;104.005;0.806867
4.93037;16 64 16 4096 2 2 0 0 0;0.771971;6.38674;108.862;0.802342
8.18661;16 64 16 4096 32 2 0 0 0;0.769648;10.6368;165.485;0.751427
19.2014;16 64 16 4096 32 32 0 0 0;0.769367;24.9574;311.192;0.634773
8.79152;16 64 16 4096 32 4 0 0 0;0.768878;11.4342;175.199;0.743023
10.0646;16 64 16 4096 32 8 0 0 0;0.768762;13.0919;194.626;0.726496
4.87035;16 64 16 4096 4 1 0 0 0;0.771613;6.31191;107.78;0.803348
5.11055;16 64 16 4096 4 2 0 0 0;0.768548;6.64962;112.637;0.798843
5.63563;16 64 16 4096 4 4 0 0 0;0.767877;7.33923;122.351;0.789908
